Record Length,2500,Points,response time,response voltage,,Record Length,2500,Points,signal time,signal voltage,
,,,-31.89999916E-6,-1.6000000E-3,,,,,-31.89999916E-6,199.99998808E-3,
,,,-31.79999840E-6,-1.6000000E-3,,,,,-31.79999840E-6,199.99998808E-3,
,,,-31.69999763E-6,-1.6000000E-3,,,,,-31.69999763E-6,159.99999642E-3,
,,,-31.59999687E-6,-1.6000000E-3,,,,,-31.59999687E-6,199.99998808E-3,
,,,-31.49999975E-6,-1.6000000E-3,,,,,-31.49999975E-6,199.99998808E-3,
,,,-31.39999899E-6,-1.6000000E-3,,,,,-31.39999899E-6,199.99998808E-3,
,,,-31.29999823E-6,-1.6000000E-3,,,,,-31.29999823E-6,199.99998808E-3,
,,,-31.19999747E-6,-1.6000000E-3,,,,,-31.19999747E-6,159.99999642E-3,
,,,-31.09999670E-6,-1.6000000E-3,,,,,-31.09999670E-6,199.99998808E-3,
,,,-30.99999958E-6,-1.6000000E-3,,,,,-30.99999958E-6,199.99998808E-3,
,,,-30.89999882E-6,-799.999979790E-6,,,,,-30.89999882E-6,159.99999642E-3,
,,,-30.79999806E-6,-1.6000000E-3,,,,,-30.79999806E-6,199.99998808E-3,
,,,-30.69999730E-6,-1.6000000E-3,,,,,-30.69999730E-6,199.99998808E-3,
,,,-30.59999653E-6,-1.6000000E-3,,,,,-30.59999653E-6,199.99998808E-3,
,,,-30.49999759E-6,-1.6000000E-3,,,,,-30.49999759E-6,199.99998808E-3,
,,,-30.39999865E-6,-1.6000000E-3,,,,,-30.39999865E-6,199.99998808E-3,
,,,-30.29999789E-6,-1.6000000E-3,,,,,-30.29999789E-6,199.99998808E-3,
,,,-30.19999895E-6,-1.6000000E-3,,,,,-30.19999895E-6,199.99998808E-3,
,,,-30.09999818E-6,-1.6000000E-3,,,,,-30.09999818E-6,199.99998808E-3,
,,,-29.99999742E-6,-1.6000000E-3,,,,,-29.99999742E-6,159.99999642E-3,
,,,-29.89999848E-6,-1.6000000E-3,,,,,-29.89999848E-6,199.99998808E-3,
,,,-29.79999772E-6,-1.6000000E-3,,,,,-29.79999772E-6,199.99998808E-3,
,,,-29.69999878E-6,-1.6000000E-3,,,,,-29.69999878E-6,199.99998808E-3,
,,,-29.59999802E-6,-1.6000000E-3,,,,,-29.59999802E-6,199.99998808E-3,
,,,-29.49999907E-6,-1.6000000E-3,,,,,-29.49999907E-6,199.99998808E-3,
,,,-29.39999831E-6,-1.6000000E-3,,,,,-29.39999831E-6,199.99998808E-3,
,,,-29.29999755E-6,-1.6000000E-3,,,,,-29.29999755E-6,199.99998808E-3,
,,,-29.19999861E-6,-1.6000000E-3,,,,,-29.19999861E-6,159.99999642E-3,
,,,-29.09999785E-6,-1.6000000E-3,,,,,-29.09999785E-6,199.99998808E-3,
,,,-28.99999890E-6,-1.6000000E-3,,,,,-28.99999890E-6,199.99998808E-3,
,,,-28.89999814E-6,-1.6000000E-3,,,,,-28.89999814E-6,199.99998808E-3,
,,,-28.79999738E-6,-1.6000000E-3,,,,,-28.79999738E-6,199.99998808E-3,
,,,-28.69999844E-6,-1.6000000E-3,,,,,-28.69999844E-6,199.99998808E-3,
,,,-28.59999768E-6,-1.6000000E-3,,,,,-28.59999768E-6,199.99998808E-3,
,,,-28.49999873E-6,-1.6000000E-3,,,,,-28.49999873E-6,199.99998808E-3,
,,,-28.39999797E-6,-1.6000000E-3,,,,,-28.39999797E-6,199.99998808E-3,
,,,-28.29999903E-6,-1.6000000E-3,,,,,-28.29999903E-6,199.99998808E-3,
,,,-28.19999827E-6,-1.6000000E-3,,,,,-28.19999827E-6,199.99998808E-3,
,,,-28.09999751E-6,-1.6000000E-3,,,,,-28.09999751E-6,159.99999642E-3,
,,,-27.99999857E-6,-1.6000000E-3,,,,,-27.99999857E-6,199.99998808E-3,
,,,-27.89999780E-6,-1.6000000E-3,,,,,-27.89999780E-6,199.99998808E-3,
,,,-27.79999886E-6,-1.6000000E-3,,,,,-27.79999886E-6,159.99999642E-3,
,,,-27.69999810E-6,-1.6000000E-3,,,,,-27.69999810E-6,159.99999642E-3,
,,,-27.59999734E-6,-1.6000000E-3,,,,,-27.59999734E-6,199.99998808E-3,
,,,-27.49999840E-6,-1.6000000E-3,,,,,-27.49999840E-6,199.99998808E-3,
,,,-27.39999763E-6,-1.6000000E-3,,,,,-27.39999763E-6,199.99998808E-3,
,,,-27.29999869E-6,-1.6000000E-3,,,,,-27.29999869E-6,199.99998808E-3,
,,,-27.19999793E-6,-1.6000000E-3,,,,,-27.19999793E-6,199.99998808E-3,
,,,-27.09999899E-6,-1.6000000E-3,,,,,-27.09999899E-6,199.99998808E-3,
,,,-26.99999823E-6,-1.6000000E-3,,,,,-26.99999823E-6,199.99998808E-3,
,,,-26.89999747E-6,-1.6000000E-3,,,,,-26.89999747E-6,199.99998808E-3,
,,,-26.79999852E-6,-1.6000000E-3,,,,,-26.79999852E-6,199.99998808E-3,
,,,-26.69999776E-6,-1.6000000E-3,,,,,-26.69999776E-6,199.99998808E-3,
,,,-26.59999882E-6,-1.6000000E-3,,,,,-26.59999882E-6,159.99999642E-3,
,,,-26.49999806E-6,-1.6000000E-3,,,,,-26.49999806E-6,159.99999642E-3,
,,,-26.39999730E-6,-1.6000000E-3,,,,,-26.39999730E-6,199.99998808E-3,
,,,-26.29999835E-6,-1.6000000E-3,,,,,-26.29999835E-6,199.99998808E-3,
,,,-26.19999759E-6,-1.6000000E-3,,,,,-26.19999759E-6,199.99998808E-3,
,,,-26.09999865E-6,-1.6000000E-3,,,,,-26.09999865E-6,159.99999642E-3,
,,,-25.99999789E-6,-1.6000000E-3,,,,,-25.99999789E-6,199.99998808E-3,
,,,-25.89999895E-6,-1.6000000E-3,,,,,-25.89999895E-6,199.99998808E-3,
,,,-25.79999818E-6,-1.6000000E-3,,,,,-25.79999818E-6,199.99998808E-3,
,,,-25.69999742E-6,-799.999979790E-6,,,,,-25.69999742E-6,199.99998808E-3,
,,,-25.59999848E-6,-1.6000000E-3,,,,,-25.59999848E-6,199.99998808E-3,
,,,-25.49999772E-6,-1.6000000E-3,,,,,-25.49999772E-6,199.99998808E-3,
,,,-25.39999878E-6,-1.6000000E-3,,,,,-25.39999878E-6,199.99998808E-3,
,,,-25.29999801E-6,-1.6000000E-3,,,,,-25.29999801E-6,199.99998808E-3,
,,,-25.19999907E-6,-1.6000000E-3,,,,,-25.19999907E-6,199.99998808E-3,
,,,-25.09999831E-6,-799.999979790E-6,,,,,-25.09999831E-6,159.99999642E-3,
,,,-24.99999755E-6,-1.6000000E-3,,,,,-24.99999755E-6,199.99998808E-3,
,,,-24.89999861E-6,-1.6000000E-3,,,,,-24.89999861E-6,199.99998808E-3,
,,,-24.79999785E-6,-1.6000000E-3,,,,,-24.79999785E-6,199.99998808E-3,
,,,-24.69999890E-6,-1.6000000E-3,,,,,-24.69999890E-6,199.99998808E-3,
,,,-24.59999814E-6,-1.6000000E-3,,,,,-24.59999814E-6,199.99998808E-3,
,,,-24.49999738E-6,-1.6000000E-3,,,,,-24.49999738E-6,199.99998808E-3,
,,,-24.39999844E-6,-1.6000000E-3,,,,,-24.39999844E-6,199.99998808E-3,
,,,-24.29999768E-6,-1.6000000E-3,,,,,-24.29999768E-6,199.99998808E-3,
,,,-24.19999873E-6,-1.6000000E-3,,,,,-24.19999873E-6,159.99999642E-3,
,,,-24.09999797E-6,-1.6000000E-3,,,,,-24.09999797E-6,199.99998808E-3,
,,,-23.99999903E-6,-1.6000000E-3,,,,,-23.99999903E-6,199.99998808E-3,
,,,-23.89999827E-6,-1.6000000E-3,,,,,-23.89999827E-6,199.99998808E-3,
,,,-23.79999751E-6,-1.6000000E-3,,,,,-23.79999751E-6,159.99999642E-3,
,,,-23.69999856E-6,-1.6000000E-3,,,,,-23.69999856E-6,159.99999642E-3,
,,,-23.59999780E-6,-1.6000000E-3,,,,,-23.59999780E-6,199.99998808E-3,
,,,-23.49999886E-6,-1.6000000E-3,,,,,-23.49999886E-6,199.99998808E-3,
,,,-23.39999810E-6,-1.6000000E-3,,,,,-23.39999810E-6,199.99998808E-3,
,,,-23.29999734E-6,-1.6000000E-3,,,,,-23.29999734E-6,199.99998808E-3,
,,,-23.19999840E-6,-1.6000000E-3,,,,,-23.19999840E-6,199.99998808E-3,
,,,-23.09999763E-6,-1.6000000E-3,,,,,-23.09999763E-6,199.99998808E-3,
,,,-22.99999869E-6,-1.6000000E-3,,,,,-22.99999869E-6,199.99998808E-3,
,,,-22.89999793E-6,-1.6000000E-3,,,,,-22.89999793E-6,159.99999642E-3,
,,,-22.79999899E-6,-1.6000000E-3,,,,,-22.79999899E-6,159.99999642E-3,
,,,-22.69999823E-6,-1.6000000E-3,,,,,-22.69999823E-6,199.99998808E-3,
,,,-22.59999746E-6,-1.6000000E-3,,,,,-22.59999746E-6,159.99999642E-3,
,,,-22.49999852E-6,-1.6000000E-3,,,,,-22.49999852E-6,199.99998808E-3,
,,,-22.39999776E-6,-1.6000000E-3,,,,,-22.39999776E-6,159.99999642E-3,
,,,-22.29999882E-6,-1.6000000E-3,,,,,-22.29999882E-6,199.99998808E-3,
,,,-22.19999806E-6,-1.6000000E-3,,,,,-22.19999806E-6,199.99998808E-3,
,,,-22.09999730E-6,-1.6000000E-3,,,,,-22.09999730E-6,199.99998808E-3,
,,,-21.99999835E-6,-1.6000000E-3,,,,,-21.99999835E-6,199.99998808E-3,
,,,-21.89999759E-6,-1.6000000E-3,,,,,-21.89999759E-6,199.99998808E-3,
,,,-21.79999865E-6,-1.6000000E-3,,,,,-21.79999865E-6,159.99999642E-3,
,,,-21.69999789E-6,-1.6000000E-3,,,,,-21.69999789E-6,199.99998808E-3,
,,,-21.59999895E-6,-799.999979790E-6,,,,,-21.59999895E-6,199.99998808E-3,
,,,-21.49999818E-6,-1.6000000E-3,,,,,-21.49999818E-6,199.99998808E-3,
,,,-21.39999742E-6,-1.6000000E-3,,,,,-21.39999742E-6,199.99998808E-3,
,,,-21.29999848E-6,-1.6000000E-3,,,,,-21.29999848E-6,199.99998808E-3,
,,,-21.19999772E-6,-1.6000000E-3,,,,,-21.19999772E-6,199.99998808E-3,
,,,-21.09999878E-6,-1.6000000E-3,,,,,-21.09999878E-6,199.99998808E-3,
