Icoil,Bnom,VHall,stddev,Bmeas
1.3530E+0,1.9755E+0,5.6800E-2,8.3666E-4,1.9756E+0
2.0520E+0,2.9407E+0,5.5000E-2,0.0000E+0,2.8743E+0
2.7010E+0,3.8368E+0,5.4400E-2,5.4772E-4,3.7565E+0
3.3500E+0,4.7330E+0,5.4200E-2,4.4721E-4,4.6466E+0
3.9500E+0,5.5615E+0,5.3200E-2,4.4721E-4,5.4643E+0
4.6000E+0,6.4590E+0,5.2200E-2,4.4721E-4,6.3369E+0
5.2500E+0,7.3565E+0,5.2000E-2,0.0000E+0,7.1999E+0
5.9000E+0,8.2540E+0,5.1000E-2,NaN,8.0417E+0
6.6010E+0,9.1196E+0,5.1000E-2,NaN,8.9260E+0
7.3510E+0,1.0032E+1,5.0800E-2,4.4721E-4,9.8197E+0
Foil,current,was,9.000000
