Record Length,2500,Points,-159.99999903E-9,-1.6000000E-3,,Record Length,2500,Points,-159.99999903E-9,199.99998808E-3,
Sample Interval,3.99999989E-9,s,-155.99999870E-9,-1.6000000E-3,,Sample Interval,3.99999989E-9,s,-155.99999870E-9,199.99998808E-3,
Trigger Point,40.00000089,Samples,-151.99999837E-9,-1.6000000E-3,,Trigger Point,40.00000089,Samples,-151.99999837E-9,199.99998808E-3,
,,,-147.9999980E-9,-1.6000000E-3,,,,,-147.9999980E-9,199.99998808E-3,
,,,-143.9999977E-9,-1.6000000E-3,,,,,-143.9999977E-9,199.99998808E-3,
,,,-139.9999974E-9,-1.6000000E-3,,,,,-139.9999974E-9,199.99998808E-3,
Source,CH1,,-135.9999970E-9,-1.6000000E-3,,Source,CH2,,-135.9999970E-9,199.99998808E-3,
Vertical Units,Volts,,-131.9999967E-9,-1.6000000E-3,,Vertical Units,Volts,,-131.9999967E-9,199.99998808E-3,
Vertical Scale,19.9999995E-3,,-127.9999964E-9,-1.6000000E-3,,Vertical Scale,999.999977648E-3,,-127.9999964E-9,199.99998808E-3,
Vertical Offset,0,,-123.9999960E-9,-1.6000000E-3,,Vertical Offset,0,,-123.9999960E-9,199.99998808E-3,
Horizontal Units,s,,-119.9999957E-9,-1.6000000E-3,,Horizontal Units,s,,-119.9999957E-9,199.99998808E-3,
Horizontal Scale,999.999971718E-9,,-116.0000025E-9,-1.6000000E-3,,Horizontal Scale,999.999971718E-9,,-116.0000025E-9,199.99998808E-3,
Pt Fmt,Y,,-112.0000022E-9,-1.6000000E-3,,Pt Fmt,Y,,-112.0000022E-9,199.99998808E-3,
Yzero,-2.0000000,,-108.0000018E-9,-1.6000000E-3,,Yzero,-3.00000000,,-108.0000018E-9,199.99998808E-3,
Probe Atten,1.000000,,-104.0000015E-9,-1.6000000E-3,,Probe Atten,1.000000,,-104.0000015E-9,199.99998808E-3,
,,,-100.0000012E-9,-1.6000000E-3,,,,,-100.0000012E-9,199.99998808E-3,
Note,TDS 1012C-EDU - 3:56:44 PM   9/4/2024,,-96.000000838E-9,-1.6000000E-3,,Note,TDS 1012C-EDU - 3:56:44 PM   9/4/2024,,-96.000000838E-9,199.99998808E-3,
,,,-92.000000507E-9,-1.6000000E-3,,,,,-92.000000507E-9,199.99998808E-3,
,,,-88.000000176E-9,-1.6000000E-3,,,,,-88.000000176E-9,199.99998808E-3,
,,,-83.999999845E-9,-1.6000000E-3,,,,,-83.999999845E-9,199.99998808E-3,
,,,-79.999999514E-9,-1.6000000E-3,,,,,-79.999999514E-9,199.99998808E-3,
,,,-75.999999183E-9,-1.6000000E-3,,,,,-75.999999183E-9,199.99998808E-3,
,,,-71.999998852E-9,-1.6000000E-3,,,,,-71.999998852E-9,199.99998808E-3,
,,,-67.999998521E-9,-1.6000000E-3,,,,,-67.999998521E-9,199.99998808E-3,
,,,-64.000005295E-9,-1.6000000E-3,,,,,-64.000005295E-9,199.99998808E-3,
,,,-60.000004964E-9,-1.6000000E-3,,,,,-60.000004964E-9,199.99998808E-3,
,,,-56.000001081E-9,-1.6000000E-3,,,,,-56.000001081E-9,199.99998808E-3,
,,,-52.00000075E-9,-1.6000000E-3,,,,,-52.00000075E-9,199.99998808E-3,
,,,-48.00000397E-9,-1.6000000E-3,,,,,-48.00000397E-9,199.99998808E-3,
,,,-44.00000364E-9,-1.6000000E-3,,,,,-44.00000364E-9,199.99998808E-3,
,,,-40.00000331E-9,-1.6000000E-3,,,,,-40.00000331E-9,199.99998808E-3,
,,,-36.00000298E-9,-1.6000000E-3,,,,,-36.00000298E-9,199.99998808E-3,
,,,-32.00000265E-9,-1.6000000E-3,,,,,-32.00000265E-9,199.99998808E-3,
,,,-28.00000232E-9,-1.6000000E-3,,,,,-28.00000232E-9,199.99998808E-3,
,,,-24.00000199E-9,-1.6000000E-3,,,,,-24.00000199E-9,199.99998808E-3,
,,,-20.0000034E-9,-1.6000000E-3,,,,,-20.0000034E-9,199.99998808E-3,
,,,-16.0000031E-9,-1.6000000E-3,,,,,-16.0000031E-9,199.99998808E-3,
,,,-12.0000028E-9,-1.6000000E-3,,,,,-12.0000028E-9,199.99998808E-3,
,,,-8.000003326E-9,-1.6000000E-3,,,,,-8.000003326E-9,199.99998808E-3,
,,,-4.00000344E-9,-1.6000000E-3,,,,,-4.00000344E-9,199.99998808E-3,
,,,-3.55271363E-15,-1.6000000E-3,,,,,-3.55271363E-15,199.99998808E-3,
,,,3.99999633E-9,-1.6000000E-3,,,,,3.99999633E-9,199.99998808E-3,
,,,7.999996221E-9,-1.6000000E-3,,,,,7.999996221E-9,319.99999285E-3,
,,,11.9999957E-9,-1.6000000E-3,,,,,11.9999957E-9,1.5599999,
,,,15.9999960E-9,-1.6000000E-3,,,,,15.9999960E-9,1.8399999,
,,,19.9999963E-9,-1.6000000E-3,,,,,19.9999963E-9,1.8399999,
,,,23.99999488E-9,-1.6000000E-3,,,,,23.99999488E-9,1.8800000,
,,,27.99999521E-9,-1.6000000E-3,,,,,27.99999521E-9,2.1199999,
,,,31.99999554E-9,-1.6000000E-3,,,,,31.99999554E-9,2.6799998,
,,,35.99999587E-9,-1.6000000E-3,,,,,35.99999587E-9,2.87999988,
,,,39.99999620E-9,-1.6000000E-3,,,,,39.99999620E-9,2.91999984,
,,,43.99999654E-9,-1.6000000E-3,,,,,43.99999654E-9,2.96000004,
,,,47.99999687E-9,-1.6000000E-3,,,,,47.99999687E-9,3.19999981,
,,,51.99999364E-9,-799.999979790E-6,,,,,51.99999364E-9,3.48000002,
,,,55.999993975E-9,-1.6000000E-3,,,,,55.999993975E-9,3.59999990,
,,,59.999997859E-9,-1.6000000E-3,,,,,59.999997859E-9,3.63999987,
,,,63.999991085E-9,-799.999979790E-6,,,,,63.999991085E-9,3.72000003,
,,,67.999991415E-9,-3.99999972E-3,,,,,67.999991415E-9,3.87999988,
,,,71.999991746E-9,-799.999979790E-6,,,,,71.999991746E-9,4.03999996,
,,,75.999992077E-9,-799.999979790E-6,,,,,75.999992077E-9,4.07999992,
,,,79.999992408E-9,-799.999979790E-6,,,,,79.999992408E-9,4.11999989,
,,,83.999992739E-9,-2.3999999E-3,,,,,83.999992739E-9,4.19999981,
,,,87.999993070E-9,-1.6000000E-3,,,,,87.999993070E-9,4.27999973,
