Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,850
Conversion Gain:,1024
Coarse Gain:,16
Fine Gain:,1.17
Upper Discriminator:,1259
Lower Discriminator:,16
Calibration Coefficients:,7.668123610152595E-5,1.120964649950157,0.5528717122991001
Calibration Channels:,28,568,442
Calibration Energies:,32.0,662.0,511.0
Elapsed Real Time:,4802.98
Elapsed Live Time:,4800.0
Start Time:,November 13, 2024, 12:42:32
End Time:,November 13, 2024, 02:02:36
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,0.5528717122991001,0
1,1.6739130434853586,0
2,2.7951077371438204,0
3,3.9164557932744852,0
4,5.0379572118773535,0
5,6.159611992952423,0
6,7.2814201364996975,0
7,8.403381642519175,0
8,9.525496511010854,0
9,10.647764741974736,0
10,11.770186335410822,0
11,12.892761291319113,0
12,14.015489609699605,0
13,15.1383712905523,0
14,16.2614063338772,0
15,17.384594739674302,0
16,18.507936507943604,22
17,19.63143163868511,308
18,20.755080131898822,347
19,21.878881987584737,354
20,23.002837205742853,400
21,24.126945786373174,386
22,25.2512077294757,330
23,26.37562303505042,359
24,27.50019170309735,314
25,28.62491373361648,344
26,29.749789126607816,360
27,30.874817882071355,397
28,32.0000000000071,353
29,33.12533548041504,390
30,34.25082432329519,382
31,35.37646652864753,398
32,36.502262096472094,411
33,37.62821102676885,485
34,38.75431331953781,425
35,39.880568974778974,439
36,41.00697799249233,427
37,42.133540372677906,489
38,43.26025611533567,484
39,44.38712522046565,537
40,45.51414768806782,561
41,46.64132351814221,579
42,47.76865271068879,585
43,48.89613526570758,595
44,50.02377118319857,624
45,51.15156046316176,713
46,52.27950310559716,697
47,53.407599110504755,771
48,54.53584847788456,821
49,55.66425120773657,853
50,56.79280730006077,913
51,57.92151675485719,957
52,59.05037957212579,1021
53,60.179395751866615,999
54,61.308565294079635,1066
55,62.43788819876486,1116
56,63.56736446592229,1126
57,64.6969940955519,1199
58,65.82677708765374,1245
59,66.95671344222778,1288
60,68.08680315927401,1347
61,69.21704623879245,1436
62,70.34744268078309,1420
63,71.47799248524595,1426
64,72.608695652181,1490
65,73.73955218158825,1527
66,74.87056207346771,1602
67,76.00172532781937,1552
68,77.13304194464322,1610
69,78.2645119239393,1539
70,79.39613526570757,1499
71,80.52791196994804,1443
72,81.6598420366607,1436
73,82.7919254658456,1512
74,83.92416225750267,1390
75,85.05655241163196,1385
76,86.18909592823344,1432
77,87.32179280730715,1342
78,88.45464304885303,1356
79,89.58764665287113,1297
80,90.72080361936142,1321
81,91.85411394832393,1281
82,92.98757763975864,1254
83,94.12119469366554,1318
84,95.25496511004467,1312
85,96.38888888889598,1330
86,97.5229660302195,1326
87,98.6571965340152,1296
88,99.79158040028314,1283
89,100.92611762902327,1262
90,102.06080822023559,1218
91,103.19565217392014,1280
92,104.33064949007687,1292
93,105.4658001687058,1347
94,106.60110420980693,1263
95,107.73656161338029,1282
96,108.87217237942583,1266
97,110.00793650794358,1246
98,111.14385399893355,1238
99,112.27992485239571,1260
100,113.41614906833006,1218
101,114.55252664673662,1219
102,115.6890575876154,1185
103,116.82574189096637,1183
104,117.96257955678954,1129
105,119.09957058508492,1221
106,120.2367149758525,1147
107,121.37401272909227,1221
108,122.51146384480425,1159
109,123.64906832298846,1171
110,124.78682616364485,1170
111,125.92473736677343,1171
112,127.06280193237424,1153
113,128.20101986044725,1152
114,129.33939115099244,1167
115,130.47791580400985,1137
116,131.61659381949943,1105
117,132.75542519746128,1135
118,133.8944099378953,1136
119,135.0335480408015,1046
120,136.1728395061799,1083
121,137.31228433403055,1071
122,138.45188252435338,1095
123,139.5916340771484,1065
124,140.73153899241564,990
125,141.87159727015506,1038
126,143.0118089103667,1009
127,144.15217391305055,937
128,145.2926922782066,1013
129,146.43336400583487,947
130,147.5741890959353,1011
