Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,850
Conversion Gain:,1024
Coarse Gain:,16
Fine Gain:,1.17
Upper Discriminator:,1189
Lower Discriminator:,15
Calibration Coefficients:,3.343101301520494E-5,1.1002692132116734,0.06407733492919378
Calibration Channels:,29,458,591
Calibration Energies:,32.0,511.0,662.0
Elapsed Real Time:,3002.23
Elapsed Live Time:,3000.0
Start Time:,November 12, 2024, 12:02:55
End Time:,November 12, 2024, 12:52:57
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,439,478,4168,-693,0,508

Channel Data:
Channel,Energy,Counts
0,0.06407733492919378,0
1,1.1643799791538825,0
2,2.2647494854046015,0
3,3.3651858536813513,0
4,4.465689083984131,0
5,5.566259176312941,0
6,6.666896130667782,0
7,7.7675999470486525,0
8,8.868370625455553,0
9,9.969208165888485,0
10,11.070112568347447,0
11,12.171083832832439,0
12,13.272121959343464,0
13,14.373226947880518,0
14,15.4743987984436,0
15,16.575637511032713,0
16,17.67694308564786,19
17,18.778315522289038,193
18,19.87975482095624,244
19,20.98126098164948,249
20,22.082834004368742,271
21,23.18447388911404,286
22,24.286180635885366,272
23,25.387954244682724,257
24,26.489794715506115,279
25,27.591702048355533,248
26,28.693676243230982,240
27,29.79571730013246,267
28,30.89782521905997,256
29,32.00000000001351,270
30,33.10224164299308,276
31,34.20455014799868,265
32,35.306925515030315,282
33,36.40936774408797,299
34,37.51187683517167,305
35,38.61445278828138,300
36,39.71709560341714,289
37,40.819805280578926,315
38,41.92258181976674,359
39,43.02542522098058,362
40,44.12833548422046,368
41,45.23131260948636,373
42,46.3343565967783,395
43,47.437467446096264,406
44,48.54064515744026,409
45,49.64388973081029,419
46,50.747201166206345,448
47,51.850579463628435,434
48,52.95402462307655,499
49,54.057536644550694,498
50,55.16111552805088,553
51,56.264761273577086,566
52,57.368473881129326,614
53,58.47225335070759,564
54,59.57609968231189,647
55,60.680012875942225,689
56,61.78399293159859,718
57,62.88803984928098,762
58,63.9921536289894,767
59,65.09633427072386,842
60,66.20058177448433,890
61,67.30489614027084,942
62,68.4092773680834,927
63,69.51372545792196,948
64,70.61824040978657,913
65,71.72282222367721,1006
66,72.82747089959388,983
67,73.93218643753657,981
68,75.0369688375053,984
69,76.14181809950004,981
70,77.24673422352083,1023
71,78.35171720956765,1076
72,79.4567670576405,1010
73,80.56188376773937,995
74,81.66706733986429,946
75,82.77231777401524,980
76,83.8776350701922,997
77,84.98301922839521,1017
78,86.08847024862422,938
79,87.19398813087928,902
80,88.29957287516038,920
81,89.4052244814675,989
82,90.51094294980065,908
83,91.61672828015983,926
84,92.72258047254505,902
85,93.82849952695629,871
86,94.93448544339357,919
87,96.04053822185686,868
88,97.14665786234619,885
89,98.25284436486156,838
90,99.35909772940296,829
91,100.46541795597038,871
92,101.57180504456385,871
93,102.67825899518333,905
94,103.78477980782884,856
95,104.8913674825004,822
96,105.99802201919798,826
97,107.10474341792157,806
98,108.21153167867121,885
99,109.31838680144688,919
100,110.42530878624858,889
101,111.53229763307631,824
102,112.63935334193008,851
103,113.74647591280987,857
104,114.85366534571568,879
105,115.96092164064754,854
106,117.0682447976054,819
107,118.17563481658932,847
108,119.28309169759926,841
109,120.39061544063524,838
110,121.49820604569724,846
111,122.60586351278528,829
112,123.71358784189934,777
113,124.82137903303945,794
114,125.92923708620557,826
115,127.03716200139772,791
116,128.14515377861588,800
117,129.2532124178601,800
118,130.36133791913036,823
119,131.4695302824266,787
120,132.57778950774892,821
121,133.68611559509725,748
122,134.79450854447163,768
123,135.90296835587202,797
124,137.01149502929846,733
125,138.12008856475092,743
126,139.22874896222942,757
127,140.33747622173394,797
128,141.4462703432645,765
129,142.55513132682108,733
130,143.66405917240368,772
131,144.77305388001233,779
132,145.882115449647,742
133,146.9912438813077,760
134,148.10043917499445,755
135,149.20970133070722,751
136,150.319030348446,691
137,151.42842622821084,747
138,152.53788897000166,739
139,153.64741857381856,738
140,154.75701503966147,683
141,155.8666783675304,742
142,156.97640855742537,707
143,158.0862056093464,727
144,159.19606952329343,687
145,160.30600029926651,709
146,161.4159979372656,751
147,162.52606243729073,686
148,163.6361937993419,649
149,164.74639202341908,681
150,165.8566571095223,718
151,166.96698905765155,736
152,168.07738786780683,647
153,169.18785353998814,710
154,170.2983860741955,670
155,171.40898547042886,668
156,172.51965172868825,668
157,173.63038484897368,697
158,174.74118483128512,670
159,175.85205167562265,652
160,176.96298538198616,619
161,178.07398595037571,620
162,179.1850533807913,670
163,180.2961876732329,603
164,181.40738882770057,599
165,182.51865684419425,593
166,183.62999172271395,631
167,184.7413934632597,620
168,185.85286206583146,608
169,186.96439753042927,555
170,188.0759998570531,556
171,189.18766904570293,590
172,190.29940509637885,550
173,191.41120800908075,562
174,192.52307778380867,551
175,193.63501442056267,521
176,194.74701791934268,553
177,195.8590882801487,546
178,196.9712255029808,503
179,198.08342958783888,514
180,199.19570053472302,485
181,200.3080383436332,510
182,201.42044301456937,481
183,202.53291454753162,469
184,203.64545294251985,504
185,204.75805819953413,484
186,205.87073031857446,481
187,206.9834692996408,439
188,208.0962751427332,460
189,209.2091478478516,464
190,210.32208741499602,432
191,211.4350938441665,421
192,212.548167135363,428
193,213.6613072885855,408
194,214.77451430383405,410
195,215.88778818110865,397
196,217.00112892040926,379
197,218.11453652173591,366
198,219.2280109850886,398
199,220.3415523104673,414
200,221.45516049787204,415
201,222.56883554730283,400
202,223.68257745875962,453
203,224.79638623224247,412
204,225.91026186775133,391
205,227.0242043652862,390
206,228.13821372484713,380
207,229.2522899464341,369
208,230.3664330300471,378
209,231.4806429756861,380
210,232.59491978335114,351
211,233.70926345304218,342
212,234.8236739847593,343
213,235.93815137850243,344
214,237.0526956342716,356
215,238.1673067520668,347
216,239.28198473188803,329
217,240.39672957373529,335
218,241.5115412776086,309
219,242.6264198435079,317
220,243.74136527143324,321
221,244.85637756138462,296
222,245.97145671336204,326
223,247.0866027273655,310
224,248.20181560339495,320
225,249.31709534145045,304
226,250.43244194153198,286
227,251.54785540363955,285
228,252.66333572777313,297
229,253.77888291393273,270
230,254.89449696211838,334
231,256.0101778723301,281
232,257.1259256445678,269
233,258.24174027883157,273
234,259.35762177512134,294
235,260.4735701334372,275
