Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,850
Conversion Gain:,1024
Coarse Gain:,16
Fine Gain:,1.17
Upper Discriminator:,1189
Lower Discriminator:,15
Calibration Coefficients:,3.343101301520494E-5,1.1002692132116734,0.06407733492919378
Calibration Channels:,29,458,591
Calibration Energies:,32.0,511.0,662.0
Elapsed Real Time:,2401.67
Elapsed Live Time:,2400.0
Start Time:,November 12, 2024, 10:38:00
End Time:,November 12, 2024, 11:18:01
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,439,478,2490,68,0,511

Channel Data:
Channel,Energy,Counts
0,0.06407733492919378,0
1,1.1643799791538825,0
2,2.2647494854046015,0
3,3.3651858536813513,0
4,4.465689083984131,0
5,5.566259176312941,0
6,6.666896130667782,0
7,7.7675999470486525,0
8,8.868370625455553,0
9,9.969208165888485,0
10,11.070112568347447,0
11,12.171083832832439,0
12,13.272121959343464,0
13,14.373226947880518,0
14,15.4743987984436,0
15,16.575637511032713,0
16,17.67694308564786,7
17,18.778315522289038,178
18,19.87975482095624,180
19,20.98126098164948,172
20,22.082834004368742,196
21,23.18447388911404,207
22,24.286180635885366,220
23,25.387954244682724,187
24,26.489794715506115,217
25,27.591702048355533,190
26,28.693676243230982,182
27,29.79571730013246,220
28,30.89782521905997,215
29,32.00000000001351,215
30,33.10224164299308,208
31,34.20455014799868,191
32,35.306925515030315,206
33,36.40936774408797,195
34,37.51187683517167,261
35,38.61445278828138,239
36,39.71709560341714,244
37,40.819805280578926,267
38,41.92258181976674,266
39,43.02542522098058,270
40,44.12833548422046,280
41,45.23131260948636,284
42,46.3343565967783,295
43,47.437467446096264,291
44,48.54064515744026,301
45,49.64388973081029,350
46,50.747201166206345,344
47,51.850579463628435,380
48,52.95402462307655,377
49,54.057536644550694,393
50,55.16111552805088,403
51,56.264761273577086,479
52,57.368473881129326,421
53,58.47225335070759,513
54,59.57609968231189,550
55,60.680012875942225,543
56,61.78399293159859,604
57,62.88803984928098,613
58,63.9921536289894,631
59,65.09633427072386,619
60,66.20058177448433,713
61,67.30489614027084,730
62,68.4092773680834,746
63,69.51372545792196,784
64,70.61824040978657,817
65,71.72282222367721,830
66,72.82747089959388,852
67,73.93218643753657,881
68,75.0369688375053,820
69,76.14181809950004,855
70,77.24673422352083,891
71,78.35171720956765,852
72,79.4567670576405,853
73,80.56188376773937,791
74,81.66706733986429,758
75,82.77231777401524,772
76,83.8776350701922,773
77,84.98301922839521,782
78,86.08847024862422,749
79,87.19398813087928,764
80,88.29957287516038,742
81,89.4052244814675,720
82,90.51094294980065,709
83,91.61672828015983,701
84,92.72258047254505,625
85,93.82849952695629,765
86,94.93448544339357,716
87,96.04053822185686,706
88,97.14665786234619,688
89,98.25284436486156,702
90,99.35909772940296,679
91,100.46541795597038,723
92,101.57180504456385,664
93,102.67825899518333,694
94,103.78477980782884,647
95,104.8913674825004,660
96,105.99802201919798,702
97,107.10474341792157,677
98,108.21153167867121,658
99,109.31838680144688,659
100,110.42530878624858,647
101,111.53229763307631,660
102,112.63935334193008,661
103,113.74647591280987,668
104,114.85366534571568,654
105,115.96092164064754,652
106,117.0682447976054,673
107,118.17563481658932,637
108,119.28309169759926,665
109,120.39061544063524,643
110,121.49820604569724,622
111,122.60586351278528,639
112,123.71358784189934,665
113,124.82137903303945,663
114,125.92923708620557,634
115,127.03716200139772,640
116,128.14515377861588,609
117,129.2532124178601,631
118,130.36133791913036,637
119,131.4695302824266,668
120,132.57778950774892,584
121,133.68611559509725,645
122,134.79450854447163,672
123,135.90296835587202,632
124,137.01149502929846,621
125,138.12008856475092,645
126,139.22874896222942,636
127,140.33747622173394,637
128,141.4462703432645,609
129,142.55513132682108,612
130,143.66405917240368,581
131,144.77305388001233,577
132,145.882115449647,594
133,146.9912438813077,630
134,148.10043917499445,649
135,149.20970133070722,668
136,150.319030348446,617
137,151.42842622821084,649
138,152.53788897000166,631
139,153.64741857381856,611
140,154.75701503966147,615
141,155.8666783675304,637
142,156.97640855742537,582
143,158.0862056093464,642
144,159.19606952329343,627
145,160.30600029926651,660
146,161.4159979372656,644
147,162.52606243729073,615
148,163.6361937993419,684
149,164.74639202341908,652
150,165.8566571095223,648
151,166.96698905765155,674
152,168.07738786780683,638
153,169.18785353998814,654
154,170.2983860741955,654
155,171.40898547042886,684
156,172.51965172868825,661
157,173.63038484897368,703
158,174.74118483128512,654
159,175.85205167562265,673
160,176.96298538198616,701
161,178.07398595037571,686
162,179.1850533807913,681
163,180.2961876732329,660
164,181.40738882770057,678
165,182.51865684419425,731
166,183.62999172271395,664
167,184.7413934632597,663
168,185.85286206583146,669
169,186.96439753042927,595
170,188.0759998570531,611
171,189.18766904570293,598
172,190.29940509637885,586
173,191.41120800908075,575
174,192.52307778380867,562
175,193.63501442056267,561
176,194.74701791934268,537
177,195.8590882801487,514
178,196.9712255029808,484
179,198.08342958783888,492
180,199.19570053472302,449
181,200.3080383436332,424
182,201.42044301456937,458
183,202.53291454753162,414
184,203.64545294251985,393
185,204.75805819953413,408
186,205.87073031857446,406
187,206.9834692996408,365
188,208.0962751427332,407
189,209.2091478478516,358
190,210.32208741499602,348
191,211.4350938441665,326
192,212.548167135363,343
193,213.6613072885855,337
194,214.77451430383405,308
195,215.88778818110865,335
196,217.00112892040926,310
197,218.11453652173591,323
198,219.2280109850886,316
199,220.3415523104673,290
200,221.45516049787204,320
201,222.56883554730283,301
202,223.68257745875962,277
203,224.79638623224247,294
204,225.91026186775133,288
205,227.0242043652862,269
206,228.13821372484713,292
207,229.2522899464341,269
208,230.3664330300471,269
209,231.4806429756861,285
210,232.59491978335114,250
211,233.70926345304218,249
212,234.8236739847593,256
213,235.93815137850243,305
214,237.0526956342716,275
215,238.1673067520668,238
216,239.28198473188803,269
217,240.39672957373529,238
218,241.5115412776086,235
219,242.6264198435079,236
220,243.74136527143324,282
221,244.85637756138462,237
222,245.97145671336204,191
223,247.0866027273655,196
224,248.20181560339495,209
225,249.31709534145045,211
226,250.43244194153198,198
227,251.54785540363955,220
228,252.66333572777313,222
229,253.77888291393273,193
230,254.89449696211838,226
231,256.0101778723301,219
232,257.1259256445678,185
233,258.24174027883157,194
234,259.35762177512134,190
235,260.4735701334372,192
236,261.589585353779,172
