Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,850
Conversion Gain:,1024
Coarse Gain:,16
Fine Gain:,1.17
Upper Discriminator:,1270
Lower Discriminator:,17
Calibration Coefficients:,1.4259201979585526E-4,1.0612728116299988,2.1725691307929127
Calibration Channels:,28,452,577
Calibration Energies:,32.0,511.0,662.0
Elapsed Real Time:,1200.92
Elapsed Live Time:,1200.0
Start Time:,November 11, 2024, 05:17:50
End Time:,November 11, 2024, 05:37:45
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,434,471,1326,-5,6,511

Channel Data:
Channel,Energy,Counts
0,2.1725691307929127,0
1,3.2339845344427074,0
2,4.2956851221320935,0
3,5.357670893861072,0
4,6.419941849629641,0
5,7.482497989437802,0
6,8.545339313285556,0
7,9.608465821172901,0
8,10.671877513099837,0
9,11.735574389066368,0
10,12.799556449072487,0
11,13.8638236931182,0
12,14.928376121203502,0
13,15.993213733328396,0
14,17.058336529492884,0
15,18.123744509696962,0
16,19.18943767394063,7
17,20.25541602222389,81
18,21.321679554546748,98
19,22.38822827090919,121
20,23.45506217131123,101
21,24.52218125575286,117
22,25.589585524234078,112
23,26.65727497675489,132
24,27.725249613315295,103
25,28.79350943391529,103
26,29.86205443855488,88
27,30.930884627234054,91
28,31.999999999952827,110
29,33.069400556711194,100
30,34.139086297509145,128
31,35.20905722234669,152
32,36.27931333122383,120
33,37.34985462414056,106
34,38.42068110109688,120
35,39.49179276209279,123
36,40.5631896071283,129
37,41.6348716362034,130
38,42.70683884931808,145
39,43.77909124647236,165
40,44.85162882766623,149
41,45.92445159289969,138
42,46.99755954217275,177
43,48.0709526754854,167
44,49.14463099283764,163
45,50.218594494229464,190
46,51.292843179660885,184
47,52.367377049131896,214
48,53.44219610264251,243
49,54.517300340192705,201
50,55.592689761782495,230
51,56.66836436741187,243
52,57.74432415708084,262
53,58.8205691307894,249
54,59.89709928853756,278
55,60.97391463032531,301
56,62.05101515615265,338
57,63.12840086601958,296
58,64.20607175992609,345
59,65.28402783787222,396
60,66.36226909985791,381
61,67.4407955458832,410
62,68.5196071759481,435
63,69.59870399005257,439
64,70.67808598819666,427
65,71.75775317038033,416
66,72.83770553660356,430
67,73.91794308686643,442
68,74.99846582116885,470
69,76.0792737395109,433
70,77.16036684189251,422
71,78.24174512831372,427
72,79.32340859877453,432
73,80.40535725327493,424
74,81.48759109181492,422
75,82.5701101143945,430
76,83.65291432101367,378
77,84.73600371167244,358
78,85.81937828637079,387
79,86.90303804510874,405
80,87.98698298788628,361
81,89.07121311470341,378
82,90.15572842556013,391
83,91.24052892045646,337
84,92.32561459939237,361
85,93.41098546236786,357
86,94.49664150938295,382
87,95.58258274043763,363
88,96.6688091555319,378
89,97.75532075466576,333
90,98.84211753783923,370
91,99.92919950505228,383
92,101.01656665630492,343
93,102.10421899159715,374
94,103.19215651092897,361
95,104.28037921430038,360
96,105.3688871017114,374
97,106.45768017316199,389
98,107.54675842865218,332
99,108.63612186818196,381
100,109.72577049175133,360
101,110.81570429936029,343
102,111.90592329100886,362
103,112.99642746669701,368
104,114.08721682642475,343
105,115.17829137019208,339
106,116.269651097999,404
107,117.36129600984552,329
108,118.45322610573163,355
109,119.54544138565733,350
110,120.63794184962262,367
111,121.7307274976275,322
112,122.82379832967199,321
113,123.91715434575605,317
114,125.0107955458797,387
115,126.10472193004294,353
116,127.1989334982458,293
117,128.29343025048823,329
118,129.38821218677026,357
119,130.48327930709186,293
120,131.57863161145306,340
121,132.67426909985386,322
122,133.77019177229425,320
123,134.86639962877425,359
124,135.96289266929384,322
125,137.059670893853,311
126,138.15673430245172,350
127,139.2540828950901,339
128,140.35171667176803,335
129,141.44963563248558,331
130,142.5478397772427,329
131,143.64632910603942,324
132,144.74510361887573,323
133,145.84416331575162,316
134,146.94350819666712,335
135,148.0431382616222,333
136,149.14305351061688,340
137,150.24325394365115,335
138,151.343739560725,339
139,152.44451036183847,318
140,153.54556634699148,337
141,154.64690751618411,358
142,155.74853386941635,383
143,156.85044540668818,355
144,157.95264212799958,375
145,159.05512403335058,356
146,160.15789112274118,361
147,161.26094339617137,327
148,162.36428085364113,384
149,163.46790349515052,354
150,164.57181132069945,336
151,165.676004330288,418
152,166.78048252391616,398
153,167.88524590158391,382
154,168.99029446329124,382
155,170.09562820903813,408
156,171.20124713882464,385
157,172.30715125265075,378
158,173.41334055051647,387
159,174.51981503242172,401
160,175.6265746983666,358
161,176.73361954835107,344
162,177.84094958237515,387
163,178.9485648004388,385
164,180.05646520254203,345
165,181.16465078868487,383
166,182.2731215588673,377
167,183.3818775130893,319
168,184.49091865135094,324
169,185.6002449736521,311
170,186.7098564799929,314
171,187.8197531703733,286
172,188.9299350447933,307
173,190.04040210325286,287
174,191.151154345752,261
175,192.26219177229075,274
176,193.3735143828691,254
177,194.48512217748706,245
178,195.59701515614455,244
179,196.70919331884167,216
180,197.8216566655784,209
181,198.9344051963547,214
182,200.04743891117062,218
183,201.16075781002607,207
184,202.27436189292115,183
185,203.38825115985583,181
186,204.5024256108301,213
187,205.61688524584395,191
188,206.73163006489736,175
189,207.84666006799043,148
190,208.96197525512304,158
191,210.07757562629527,153
192,211.1934611815071,184
193,212.30963192075848,155
194,213.42608784404948,152
195,214.54282895138007,163
196,215.65985524275024,154
197,216.77716671816,169
198,217.89476337760937,169
199,219.01264522109832,151
200,220.13081224862688,165
201,221.249264460195,142
202,222.36800185580273,164
203,223.48702443545005,145
204,224.60633219913697,149
